Ann. Return,Max DD,Turnover,Fitness,Threshold,Ticker,Accuracy
6.6942,0.9943,50,4.5619,0.58,AQYLON,0.8333
1.8174,0.0755,5,1.6521,0.54,MEP,0.9195
2.2808,0.2736,45,1.6035,0.58,GSLSU,0.8092
1.479,0.2678,50,0.7997,0.58,NAVKARURB,0.8276
0.9932,0.0517,6,0.7469,0.58,VISHAL,0.7143
1.5294,0.3389,42,0.7309,0.58,PARSVNATH,0.8161
0.9036,0.0847,24,0.6649,0.52,ANSALAPI,0.8786
1.0121,0.1261,35,0.6588,0.5,21STCENMGM,0.8035
1.7745,0.5101,52,0.6056,0.58,OSIAHYPER,0.7486
0.868,0.1079,53,0.5007,0.56,KALPATARU,0.7943
0.8888,0.1447,35,0.4994,0.58,RELINFRA,0.7371
1.3408,0.3598,43,0.4991,0.56,RNBDENIMS,0.7273
1.0046,0.1793,52,0.4974,0.58,MASTERTR,0.8057
1.5899,0.5155,44,0.4318,0.54,SADBHAV,0.7919
0.8452,0.1488,54,0.3924,0.58,TIRUMALCHM,0.7989
0.7938,0.1161,62,0.3834,0.58,NOVAAGRI,0.8333
0.9091,0.1694,78,0.3462,0.56,LAKPRE,0.7701
0.9436,0.2186,58,0.3398,0.58,GOCOLORS,0.7816
0.7564,0.1603,54,0.2816,0.58,BALUFORGE,0.8229
0.9405,0.255,53,0.2774,0.58,UMAEXPORTS,0.7688
0.9206,0.2876,30,0.2592,0.58,TAKE,0.8391
0.5928,0.0996,52,0.2449,0.58,HIKAL,0.8229
0.8315,0.2156,54,0.2443,0.56,BAFNAPH,0.8382
0.7457,0.1709,58,0.2383,0.58,RAJSREESUG,0.8057
0.8006,0.2077,60,0.2127,0.58,VCL,0.8218
0.7222,0.1816,62,0.1799,0.58,SEYAIND,0.8092
0.454,0.0834,53,0.135,0.54,FMGOETZE,0.8333
0.8717,0.3091,44,0.1263,0.58,ROLLT,0.8555
0.4957,0.1195,46,0.1259,0.58,TRANSRAILL,0.7727
0.5163,0.1234,52,0.12,0.58,MAHEPC,0.8621
0.4997,0.1359,40,0.113,0.56,AKSHARCHEM,0.8736
0.6147,0.1788,56,0.0962,0.58,PRIMO,0.7529
0.9692,0.3576,60,0.0834,0.58,RAJESHEXPO,0.7216
0.5373,0.1291,71,0.0774,0.58,KIOCL,0.8295
0.751,0.2575,57,0.0741,0.58,IBULLSLTD,0.7614
0.3934,0.1105,35,0.0729,0.52,EMAMIPAP,0.858
0.725,0.2734,38,0.0689,0.52,SANWARIA,0.7931
0.8461,0.2907,71,0.0606,0.56,SOLEX,0.7126
0.5203,0.1635,48,0.0563,0.58,HERANBA,0.7886
0.7088,0.2519,54,0.0498,0.56,IZMO,0.7759
0.5824,0.164,72,0.0486,0.58,DREDGECORP,0.7714
0.4369,0.1294,47,0.0438,0.52,CHOICEIN,0.8171
0.4753,0.1484,48,0.0414,0.58,GVKPIL,0.7657
0.4297,0.1377,41,0.0365,0.58,AGSTRA,0.7356
0.2705,0.0487,48,0.0359,0.58,SANOFI,0.8171
0.3894,0.1186,42,0.0328,0.58,CYIENT,0.8239
0.8997,0.3701,45,0.0301,0.58,DHARAN,0.7414
0.8731,0.3327,65,0.022,0.58,TICL,0.76
0.471,0.1441,56,0.0219,0.58,TEGA,0.7989
0.4606,0.14,56,0.0215,0.58,AVANTEL,0.8182
0.5532,0.177,65,0.0136,0.56,AVANTIFEED,0.7886
0.3,0.0517,66,0.008,0.58,SCHAEFFLER,0.8571
0.6146,0.2378,46,0.0076,0.58,STLNETWORK,0.7886
0.0,0.0,0,0.0,0.5,KALYANI,0.0
0.0,0.0,0,0.0,0.5,MBECL,0.0
0.0,0.0,0,0.0,0.5,GFSTEELS,0.0
0.4009,0.1407,43,-0.0026,0.52,GRAVITA,0.8011
0.6959,0.2724,54,-0.0032,0.58,CEWATER,0.72
0.3917,0.1045,66,-0.0058,0.58,ROTO,0.7886
0.4094,0.1295,58,-0.0143,0.58,DCW,0.7614
0.4963,0.1663,62,-0.0155,0.58,NDGL,0.7688
0.4614,0.1591,56,-0.0168,0.58,ROUTE,0.8
0.3825,0.1133,62,-0.0202,0.58,HBLENGINE,0.8068
0.5056,0.1651,69,-0.0216,0.58,EMBDL,0.7486
0.3266,0.1027,50,-0.0225,0.58,KRBL,0.7874
0.4839,0.1682,61,-0.0257,0.58,HAPPSTMNDS,0.767
0.4856,0.1721,60,-0.031,0.58,KRISHNADEF,0.8046
0.5016,0.1804,61,-0.0335,0.58,LATENTVIEW,0.7886
0.5312,0.1938,62,-0.0337,0.58,EASEMYTRIP,0.7829
0.2279,0.083,34,-0.0347,0.58,SHREEJISPG,0.9034
0.3772,0.1197,62,-0.0382,0.58,SCI,0.7955
0.4859,0.1747,62,-0.0397,0.58,LAXMIDENTL,0.7898
0.0982,0.0307,28,-0.0441,0.52,AFSL,0.6532
0.3213,0.1189,45,-0.0457,0.54,PRICOLLTD,0.8046
0.5286,0.2036,60,-0.0492,0.5,BBOX,0.8125
0.305,0.1044,51,-0.0504,0.58,TVSSCS,0.7874
0.4501,0.1611,63,-0.051,0.56,NETWORK18,0.767
0.3641,0.1395,48,-0.052,0.58,RAYMOND,0.8686
0.2136,0.13,3,-0.055,0.5,BURNPUR,0.9714
0.3949,0.1457,57,-0.0613,0.58,RAMKY,0.7688
0.4691,0.1771,63,-0.0662,0.58,MAANALU,0.7931
0.4321,0.1709,55,-0.0668,0.58,IMFA,0.7829
0.7812,0.3505,53,-0.0721,0.56,UEL,0.7586
0.2283,0.0852,45,-0.0722,0.58,LMW,0.8324
0.3585,0.151,46,-0.0748,0.54,AMRUTANJAN,0.7943
0.1639,0.0667,37,-0.0753,0.54,BAJAJFINSV,0.8229
0.4571,0.1843,58,-0.0772,0.56,SMLMAH,0.8171
0.2911,0.0989,60,-0.078,0.54,GODREJAGRO,0.8286
0.4598,0.188,59,-0.0837,0.54,FIRSTCRY,0.7557
0.2929,0.1007,62,-0.0846,0.58,GMDCLTD,0.8125
0.2288,0.0877,49,-0.0858,0.58,MOTILALOFS,0.8636
0.2281,0.0862,50,-0.0863,0.56,IOC,0.7727
0.6399,0.2753,62,-0.0868,0.58,ALLTIME,0.7841
0.2899,0.1398,34,-0.0868,0.58,BLISSGVS,0.8857
0.3499,0.1385,56,-0.0871,0.58,TIINDIA,0.8286
0.3957,0.1709,50,-0.089,0.58,NEOGEN,0.8171
0.3101,0.1258,52,-0.0901,0.58,LUMAXTECH,0.8114
0.6655,0.2897,62,-0.092,0.58,SPCENET,0.7011
0.3381,0.1372,55,-0.0934,0.58,GOPAL,0.7829
0.5938,0.2601,59,-0.0951,0.58,HGINFRA,0.7657
0.2234,0.1051,38,-0.0959,0.54,SIS,0.8736
0.563,0.2376,64,-0.0973,0.56,EVERESTIND,0.7688
0.1696,0.071,44,-0.0974,0.58,FEDERALBNK,0.8523
0.3793,0.1595,55,-0.0977,0.56,PIONEEREMB,0.8103
-0.0117,0.0405,2,-0.0985,0.54,DSKULKARNI,0.9943
0.2775,0.1116,54,-0.0992,0.58,PLASTIBLEN,0.8295
0.1591,0.0734,40,-0.1013,0.56,SONACOMS,0.8807
0.2551,0.1187,42,-0.1022,0.58,WOCKPHARMA,0.8114
0.5998,0.2735,55,-0.1053,0.54,CALSOFT,0.8161
0.3797,0.1554,62,-0.1092,0.58,INSECTICID,0.8276
0.4191,0.1983,46,-0.1097,0.58,SETCO,0.8333
0.4706,0.2159,53,-0.1118,0.58,HEG,0.8182
0.2493,0.0969,59,-0.1131,0.58,NELCO,0.8057
0.2693,0.1155,54,-0.116,0.56,JKPAPER,0.8229
0.5481,0.2458,61,-0.1168,0.58,UNITECH,0.7045
0.1016,0.0479,43,-0.1178,0.58,PTL,0.8448
0.6074,0.2579,73,-0.1194,0.58,SEMAC,0.763
0.1817,0.0889,44,-0.1211,0.58,INDGN,0.8295
0.2608,0.1335,40,-0.1211,0.58,ASTERDM,0.8621
0.2571,0.1237,46,-0.1231,0.58,3MINDIA,0.8555
0.4209,0.2002,52,-0.1273,0.58,VINDHYATEL,0.7841
0.4773,0.2077,67,-0.1284,0.58,SDBL,0.7614
0.3953,0.1822,56,-0.1291,0.56,BECTORFOOD,0.7714
0.2759,0.1116,64,-0.1302,0.58,PATELENG,0.7714
0.4941,0.22,64,-0.1307,0.56,JPOLYINVST,0.7977
0.436,0.2066,54,-0.1315,0.58,SAKAR,0.8514
0.4399,0.1962,63,-0.1324,0.52,FORCEMOT,0.7771
0.3593,0.1773,48,-0.1333,0.58,TEXMOPIPES,0.7931
0.2422,0.1037,59,-0.1337,0.58,SUMICHEM,0.8057
0.4092,0.2019,49,-0.1347,0.58,NETWEB,0.8229
0.4453,0.1916,69,-0.1351,0.58,BLKASHYAP,0.7543
0.2953,0.1358,56,-0.1354,0.58,HITECH,0.7727
0.4039,0.1836,60,-0.1356,0.56,RATNAVEER,0.7701
0.2695,0.1318,50,-0.1361,0.58,BLS,0.7727
0.1566,0.083,45,-0.1379,0.58,ENDURANCE,0.84
0.3317,0.161,52,-0.1389,0.56,AXISCADES,0.8229
0.3448,0.1604,57,-0.1389,0.58,TTKPRESTIG,0.7829
0.2333,0.1056,57,-0.1397,0.58,SHREECEM,0.8239
0.2312,0.1197,47,-0.1432,0.58,MOLDTKPAC,0.8448
0.3268,0.1629,50,-0.1434,0.58,ALICON,0.7746
0.2392,0.1163,52,-0.1436,0.56,DECCANCE,0.7746
0.3382,0.1576,59,-0.1456,0.58,IDEAFORGE,0.8114
0.217,0.1289,37,-0.1478,0.58,DIVGIITTS,0.8555
0.1915,0.0934,54,-0.1487,0.56,JSWINFRA,0.8068
0.385,0.178,62,-0.1491,0.58,LIBERTSHOE,0.7931
0.3224,0.1392,68,-0.1504,0.58,SUMMITSEC,0.7886
0.4753,0.2093,74,-0.1535,0.56,SAKSOFT,0.75
0.5524,0.2851,48,-0.1557,0.54,CIFL,0.7529
0.701,0.3427,60,-0.1559,0.58,GENESYS,0.7314
0.3462,0.1722,56,-0.1572,0.58,APOLLO,0.8636
0.2379,0.119,56,-0.1592,0.56,CGPOWER,0.8636
0.2724,0.147,48,-0.1595,0.58,SURYODAY,0.8391
